PubID,StreetAddress,Area,TradingName,NumberOfPatrons,Xcoordinate,Ycoordinate
1,104-112 Flinders Street,Melbourne (CBD),24 Moons,195,144.9711544,-37.81600001
2,42-44 Lonsdale Street,Melbourne (CBD),44 Bar,260,144.971034,-37.80912054
3,187 Flinders Lane,Melbourne (CBD),Adelphi Hotel,80,144.9683751,-37.81635789
4,20-30 Convention Centre Place,Southbank,Aerial Events,900,144.9523782,-37.82539976
5,171-173 Curzon Street,North Melbourne,Albion Hotel,150,144.9485505,-37.79889904
6,324-328 Little Lonsdale Street,Melbourne (CBD),Alchemist's Refuge,60,144.9599402,-37.81167474
7,54-60 Market Street,Melbourne (CBD),Alexi's On Market Restaurant ,370,144.9608283,-37.81778076
8,54-60 Market Street,Melbourne (CBD),Alexis Restaurant,370,144.9608283,-37.81778076
9,566-580 Flinders Street,Melbourne (CBD),All Nations Backpackers Bar,98,144.9553465,-37.82072034
10,566-580 Flinders Street,Melbourne (CBD),All Nations Bar,98,144.9553465,-37.82072034
11,457-471 Bourke Street,Melbourne (CBD),Alluva Restaurant Bar Lounge ,513,144.9601886,-37.81547268
12,163-169 Russell Street,Melbourne (CBD),Altitude,300,144.9676479,-37.81246709
13,338-352 Bourke Street,Melbourne (CBD),Alto Events,400,144.9632879,-37.81360425
14,143-175 Harbour Esplanade,Docklands,Alumbra,690,144.9435654,-37.8165193
15,143-175 Harbour Esplanade,Docklands,Alumbra At Central Pier,690,144.9435654,-37.8165193
16,414-422 Lygon Street,Carlton,Astor Hotel,120,144.9678126,-37.79694555
17,59-63 Bourke Street,Melbourne (CBD),Asuka Restaurant,150,144.9715659,-37.81212537
18,131-137 Lonsdale Street,Melbourne (CBD),Athens Business Club,30,144.96853,-37.81098009
19,7-9 South Wharf,Southbank,Atlantic South Wharf Function Centre,1300,144.9503336,-37.82409303
20,8 Whiteman Street,Southbank,Atrium Bar,100,144.9586604,-37.82312164
21,258-274 Collins Street,Melbourne (CBD),Australia On Collins Bar,11,144.9648999,-37.81536587
22,8 Whiteman Street,Southbank,Automatic Cafe,340,144.9586604,-37.82312164
23,107-109 Flinders Lane,Melbourne (CBD),Bambu Bar,230,144.9708344,-37.81560645
24,107-109 Flinders Lane,Melbourne (CBD),Bambu Cafe,170,144.9708344,-37.81560645
25,562-564 Queensberry Street,North Melbourne,Banter Wine Bar,50,144.9487134,-37.80271962
26,244-250 Queen Street,Melbourne (CBD),Bar 420,200,144.959964,-37.81269018
27,267 Little Collins Street,Melbourne (CBD),Bar Americano,10,144.9656034,-37.81483458
28,16-30 Russell Place,Melbourne (CBD),Bar Ampere,60,144.9674275,-37.81355434
29,160-162 Lygon Street,Carlton,Bar Centrale,500,144.9667699,-37.80344164
30,203-207 King Street,Melbourne (CBD),Bar Humbug,30,144.9549691,-37.81538904
31,717-731 Collins Street,Docklands,Bar Nicional,75,144.9500934,-37.82068699
32,315 Victoria Street,West Melbourne (Residential),Barber Bar ,50,144.9510475,-37.80556768
33,2-20 Drewery Place,Melbourne (CBD),Baroq House,303,144.9639703,-37.81130304
34,335-339 Flinders Lane,Melbourne (CBD),Bartronica,200,144.9632258,-37.81784765
35,407-409 Swanston Street,Melbourne (CBD),Basement 407,150,144.9631797,-37.80895593
36,93-95 Queen Street,Melbourne (CBD),Basemint Louge Bar,167,144.9609695,-37.81637876
37,100-116 Bourke Street,Melbourne (CBD),Bass Lounge,350,144.9697778,-37.81170307
38,607-623 Collins Street,Melbourne (CBD),Batman's Hill On Collins Hotel,1500,144.95469,-37.81929312
39,425-427 Docklands Drive,Docklands,BCM Bar & Balcony,350,144.9390269,-37.81517782
40,3 Southgate Avenue,Southbank,Bear Brass,200,144.9662623,-37.82066923
41,2 Swanston Street,Melbourne (CBD),Beer De Luxe,355,144.9699175,-37.81784465
42,3-7 Riverside Quay,Southbank,Belgian Beer Cafe Eureka,638,144.9645668,-37.82166549
